ABBAGNANO	アバニャーノ
HOLTZMAN	ホルツマン
HOLZMANN	ホルツマン
HOMER	ホーナー
HONDA	ホンダ
HONTER	ホンテル
HOPKIRK	ホップカーク
HORMAYR	ホールマイル
HORNAK	ホーナック
HORNIMAN	ホーニマン
HORROCKS	ホロックス
HORT	ホート
HOSTOS	オストス
HOTELLING	ホテリング
HOUGHTON	ホートン
HOVORA	オボラ
HOYLE	オイレ
HOYT	ホイテ
HRABAL	フラバル
HRISANIDE	フリサニデ
HRUSCHKA	フルシュカ
HUEBNER	ヒューブナー
HUISMAN	ユイスマン
HULSE	ハルス
HUMFREY	ハンフリー
HUMPHRIES	ハンフリーズ
HUNDESHAGEN	フンデスハーゲン
HUNDLEY	ハンドレイ
HUNKER	ハンカー
HURST	ハースト
HUSAINI	フサイニー
HUXLEY	ハクスリー
HUYGENS	ホイヘンス
HVOROV	フボロフ
HYER	ハイアー
HYMAN	ハイマン
IAVICOLI	イアビコリ
ICILIUS	イキリウス
IDA	イダ
IMBODEN	インボデン
IMMISCH	インミッシュ
IMMOOS	インモース
IMRU	イムル
INARDI	イナルディ
INBER	インベル
INCA	インカ
INCHBALD	インチボールド
INGEGNERI	インジェニエーリ
INGENIEROS	インヘニェーロス
INGHAM	インガム
INGLIS	イングリス
INO	イノ
IOAN	ヨアン
ION	イオン
IORGA	ヨルガ
IOSELIANI	イオセリアーニ
IRANI	イラニ
IRENA	イレーナ
IRONS	アイアンズ
IRONSIDE	アイアンサイド
ISAK	アイザック
IVAILO	イワイロ
IVANOVA	イワノワ
IVANOVSKI	イワノフスキー
JAAP	ヤープ
JABLONOWSKI	ヤブロノフスキー
JABLONSKI	ヤブオニスキ
JACCARD	ジャカール
JACK	ジャック
JACOB	ジャコブ
JACOBSON	ヤコブソン
JACOTOT	ジャコトー
JACOULET	ジャクレー
JADASSOHN	ヤーダスゾーン
JAFFE	ジャフェ
JAHN	ヤーン
JAKOBY	ヤコビ
JAMBYN	ジャムビン
JAMMES	ジャム
JAMSA	ジャムサ
JANKE	ヤンケ
JANKO	ヤンコー
JANOW	ジェイノー
JANSKY	ジャンスキー
JANSON	ヤンソン
JASON	ジェイスン
JAUBERT	ジョベール
JAVITS	ジャビッツ
JEANMAIRE	ジャンメール
JENIFER	ジェニファー
JEPSON	ジェプスン
JEREMY	ジェラミー
JERGER	イェルガー
JESS	ジェス
JESSIE	ジェシー
JOANNA	ジョアナ
JOBIM	ジョビン
JOCELYN	ジョセリン
JOCK	ジョック
JODELLE	ジョデル
JOEL	ジョエル
JOEST	ヨースト
JOHANN	ヨハン
JOHNEN	ヨーネン
JOHNNIE	ジョニイ
JOHNNY	ジョニー
JOHNSON	ジョンスン
JOHNSTONE	ジョンストン
JOHNSTOWN	ジョンズタウン
JOMMELLI	ヨメリ
JONASSON	ヨナッソン
JORIS	ヨーリス
JOSEF	ヨセフ
JOSLIN	ジョスリン
JOTUNI	ヨトゥニ
JOUBIN	ジュバン
JOURDAIN	ジュールデン
JOZEF	ヨゼフ
JUDD	ジャッド
JUDSON	ジャドソン
JUGLAR	ジュグラール
JUIN	ジュアン
JUNGWIRTH	ユンクビルト
JUNOT	ジュノー
KAGEN	カーゲン
KAHL	カール
KAHNWEILER	カーンワイラー
KAISER	カイザー
KAJANUS	カヤーヌス
KALEDIN	カレージン
KALEVI	カレビ
KALMUS	カルムス
KALNBERZIN	カルンベルジン
KAMAL	カマル
KAMINSKY	カミンスキー
KANE	ケイン
KANTROWITZ	カントロウィッツ
KAPPEL	カッペル
KARAL	カラル
KARANJA	カランジャ
KARDELJ	カルデリ
KARELIA	カレリア
KARLA	カーラ
KARLSRUHE	カールスルーエ
KARPECHENKO	カルペチェンコ
KARUBI	カルビー
KASEY	ケイシー
KASSIAN	カシアン
KATERINA	カテリーナ
KATHARINE	キャサリン
KATZ	カッツ
KATZMAN	カッツマン
KAVERIN	カベーリン
KAWAWA	カワワ
KAY	ケー
KEE	ケー
KEEGAN	キーガン
KEES	キース
KEINHORST	カインホルスト
KEINO	ケイノ
KELEMEN	ケレメン
KELLNER	ケルナー
KELVIN	ケルビン
KEMPIS	ケンピス
KENDREW	ケンドルー
KERSHAW	カーショー
KESWICK	ケズウィック
KHALATBARY	ハラットバリー
KHALIDI	ハリディ
KHARKOV	カーコフ
KHINCHIN	ヒンチン
KILBY	キルビー
KILDUFF	キルダフ
KINDER	キンドル
KINGDOM	キングダム
KINGSTOWN	キングスタウン
KIOWA	カイオワ
KITCHENER	キッチナー
KLAGENFURT	クラーゲンフルト
KLAUSNER	クラウスナー
KLEMM	クレム
KLEPP	クレップ
KLIMT	クリムト
KLONDIKE	クロンダイク
KNELLER	ネラー
KNOLL	ノル
KNOLLES	ノールズ
KNOTTS	ノッツ
KNYAZHNIN	クニャジニーン
KNYPHAUSEN	クニプハウゼン
KOCHAN	コーチャン
KOCK	コッホ
KOEGEL	ケーゲル
KOEN	クン
KOESTLER	ケストラー
KOLISKO	コリスコ
KONASHEVICH	コナシェビチ
KONETZNI	コネツニ
KONRATH	コンラート
KORCHIN	コーチン
KORGANOFF	コルガノフ
KOSAMBI	コーサンビー
KOSTIUK	コスチューク
KOVACIC	コバチッチ
KRAAYVANGER	クラーイファンガー
KRANTZ	クランツ
KRENTZ	クレンツ
KREPPEL	クレッペル
KREYSSIG	クロイシッヒ
KRIPPNER	クリップナー
KRIS	クリス
KRISTENSEN	クリステンセン
KRITZ	クリッツ
KRONASSER	クロナッサー
KRONENBERGER	クローネンバーガー
KROUPA	クロウパ
KROUSKY	クロウスキー
KRPAN	クルパン
KRUMBACHER	クルムバハー
KRUSE	クルーズ
KRZYSZTOF	クシシュトフ
KRZYWICKI	クシビツキ
KUCHTA	クフタ
KUHLAU	クーラウ
KULKA	クルカ
KUNIN	クーニン
KUPCHENKO	クープチェンコ
KUPPER	クッパー
KUROPATKIN	クロパトキン
KUSSER	クッサー
KUZMIN	クズミン
KUZNETSOV	クズネツォフ
KVARAN	クバラン
KYD	キッド
KYRGYZSTAN	キルギスタン
LABRIOLA	ラブリオーラ
LACHENBRUCH	ラッヘンブルック
LADAME	ラダム
LADD	ラッド
LAGE	ラージュ
LAMENNAIS	ラムネ
LAMERTON	ラマートン
LAMPEDUSA	ランペドゥーサ
LAMPLE	ランプル
LAMSZUS	ラムスツス
LANCIOTTI	ランチョッティ
LANDERS	ランダーズ
LANGENSCHEIDT	ランゲンシャイト
LANGEVIN	ランジュバン
LANGFORD	ランフォード
LANGHAM	ランガム
LANNERS	ラナーズ
LANSBURY	ランズベリー
LAPORTE	ラポルト
LAPPO	ラッポ
LAPRADE	ラプラード
LAPSLEY	ラプスリー
LARGE	ラージ
LASKY	ラスキー
LASSUS	ラシュス
LATHROP	ラスロップ
LAUBE	ラウベ
LAUENSTEIN	ラウエンスタイン
LAUPER	ローパー
LAUREL	ローレル
LAUTH	ラウト
LAVEN	レービン
LAXALT	ラクソルト
LAYNE	レイン
LAZO	ラゾー
LEABUA	レアブア
LEBON	ルボン
LECH	レフ
LEFFSON	レフソン
LEHRNDORFER	レールンドルファー
LEHTONEN	レヒトネン
LEINSDORF	ラインスドルフ
LEIPOLD	ライポルト
LELY	レーリー
LEMNITZ	レムニツ
LENDVAY	レンドビー
LENGBORN	レングボルン
LEONARDO	レオナルド
LEONOR	レオノール
LERSCH	レルシュ
LESHAN	ルシャン
LEVANT	レバント
LEVI	レビ
LEVINGER	レビンガー
LEYDEN	レイデン
LIAM	リーアム
LIBERATORE	リベラトーレ
LIEBER	リーバー
LIEM	リーム
LIGNEUL	リギョール
LIKERT	リッカート
LILLEY	リリー
LILOV	リロフ
LINACRE	リナカー
LINCOLN	リンカーン
LINDEN	リンデン
LINE	リーヌ
LINGARD	リンガード
LINGE	リンゲ
LINKLATER	リンクレーター
LIPPI	リッピ
LIPSKY	リプスキー
LITT	リット
LITVIN	リトビン
LIVERMORE	リバモア
LIVESEY	リブジー
LIYONG	リオング
LOBE	ローベ
LODGE	ロッジ
LOHMEYER	ローマイアー
LOMBARDI	ロンバルジ
LONGANESI	ロンガネージ
LONGFELLOW	ロングフェロー
LOON	ローン
LORD	ロード
LORENTZ	ローレンツ
LOTTO	ロット
LOVEGROVE	ラブグローブ
LOWELL	ローエル
LOWENBERG	ローエンバーグ
LOWER	ロウアー
LOYD	ロイド
LOYONNET	ロアイヨンネ
LUBOWSKI	ルボウスキー
LUGOSI	ルゴシ
LUKE	ルーク
LUNELLI	ルネルリ
LUYTEN	ルイテン
LYBECK	リーベック
LYDGATE	リドゲート
LYELL	ライエル
LYMPANY	リンパニー
LYNDA	リンダ
LYNN	リン
LYSENKO	ルイセンコ
LYTE	ライト
LYTTON	リットン
MACDONOUGH	マクドナー
MACELWANE	マケルウェーン
MACGOWAN	マガウアン
MACHATY	マハティ
MACLAURIN	マクローリン
MACLAY	マクレー
MACLEAN	マクリーン
MACMILLAN	マクミラン
MACON	メーコン
MACY	メーシー
MADELEINE	マデライン
MADRID	マドリード
MAERKER	メーカー
MAFFEI	マッフェイ
MAGNES	マグニス
MAHLBERG	マールベルク
MAHLER	マーラ
MAHMOOD	マフモード
MAIMBOURG	マンブール
MAINE	メーン
MAIRET	メレ
MAIWANDWAL	マイワンドワル
MAKARENKO	マカーレンコ
MALANOWSKI	マラノフスキ
MALAWI	マラウイ
MALENOTTI	マレノッティ
MALLINSON	マリンソン
MALUS	マリュス
MANDEAU	マンドー
MANDEL	マンデル
MANET	マネ
MANGUIN	マンギャン
MANIU	マニウ
MANNONI	マノニ
MANSFELD	マンスフェルト
MANSTEIN	マンシュタイン
MANTUA	マントバ
MANUILA	マヌイラ
MANZONI	マンツォーニ
MAPU	マプー
MARABLE	マラブル
MARAGLIANO	マラリャーノ
MARANGONI	マランゴーニ
MARCHANT	マーチャント
MARCHESE	マルケーゼ
MARCIANO	マルチャノ
MARGARITIS	マルガリティス
MARGOTTA	マルゴッタ
MARIA	マリア
MARIJA	マリヤ
MARIMPIETRI	マリンピエトリ
MARK	マーク
MARKOS	マルコス
MARKOV	マルコフ
MARKOWITZ	マーコウィッツ
MARKSTEIN	マークスタイン
MARMION	マルミオン
MAROTO	マロート
MARRINER	マリナー
MARTENS	マールテンス
MARTI	マルティ
MARTINON	マルティノン
MARTINSON	マルティンソン
MASSOUDI	マスウーディー
MATA	マータ
MATAMOROS	マタモロス
MATT	マット
MATTA	マッタ
MATTHEW	マシュー
MATTSSON	マッツソン
MATZA	マッツァ
MAUDE	モード
MAUPEOU	モープー
MAURANE	モラーヌ
MAUSS	モース
MAUVE	モーブ
MAXIMILIAN	マクシミリアン
MAXINE	マキシン
MAXWELL	マックスウェル
MAYES	メイズ
MAZURA	マツーラ
MAZURKEVICH	マズルケビチ
MBABANE	ムババーネ
MBOYA	ムボヤ
MCGHEE	マッギー
MCKIBBEN	マッキベン
MCKINNON	マッキノン
MCLAREN	マクラーレン
MCNAUGHT	マクノート
MEAD	ミード
MEDILL	メディル
MEDINA	メディナ
MEDVED	メドベジ
MEDVEDEV	メドベジェフ
MEDVEDKIN	メドベートキン
MEGGERS	メガーズ
MEIGS	メグス
MEINONG	マイノング
MELMUKA	メルムカ
MENASHE	メナシェ
MENCL	メルツル
MENDELSOHN	メンデルゾーン
MENDENHALL	メンデンホール
MENDES	メンデス
MEREDITH	メレディス
MERI	メリ
MERING	メーリング
MERRIMAN	メリマン
MERZ	メルツ
MESSIER	メシエ
METHUEN	メスエン
MEVISSEN	メビッセン
MEYERBEER	マイアーベーア
MICHIGAN	ミシガン
MICK	ミック
MICOMBERO	ミコンベロ
MIDDLESEX	ミドルセックス
MIES	ミース
MIGNON	ミニョン
MIGRANYAN	ミグラニャン
MIKHALKOV	ミハルコフ
MIKUNIS	ミクニス
MILDRED	ミルドレッド
MILJAKOVIC	ミリャコビチ
MILLAY	ミレー
MILLIGAN	ミリガン
MILOS	ミロシュ
MILOVAN	ミロバン
MILT	ミルト
MINKOWSKI	ミンコフスキー
MINNIE	ミニー
MINOU	ミヌー
MINTZ	ミンツ
MIRONOV	ミロノフ
MIROSHNICHENKO	ミロシニチェンコ
MIRRA	ミラ
MISCHNICK	ミシュニク
MITROPOULOS	ミトロプーロス
MIURA	ミウラ
MIXON	ミクスン
MIZELL	ミゼル
MODENESE	モデネーゼ
MOGENSEN	モーエセン
MOHRING	モーリング
MOHSEN	モホセン
MOIR	モワール
MOISE	モイーズ
MOLENAER	モレナール
MOLINARO	モリナロ
MOLINO	モリーノ
MOLLY	モーリ
MOLTENI	モルテーニ
MONAGAS	モナガス
MONDOR	モンドール
MONETA	モネータ
MONICELLI	モニチェリ
MONIGETTI	モニゲッティ
MONNET	モネ
MONROE	モンロー
MONTAGU	モンタギュー
MONTAPERTO	モンタペルト
MONTEFUSCO	モンテフスコ
MONTEITH	モンティス
MONTELIUS	モンテリウス
MONTICELLI	モンティセリ
MONTYON	モンティヨン
MOODY	ムーディ
MOORCROFT	モーアクロフト
MOORHOUSE	ムアハウス
MORELLET	モルレ
MORET	モレト
MORI	モリ
MORLEY	モーリー
MORLOTTI	モルロッティ
MOROSINI	モロシーニ
MORTLOCK	マートロック
MOSTAERT	モステール
MOSTAR	モスタル
MOSTRAS	モストラス
MOTT	モット
MOTTEVILLE	モットビル
MOUDUD	モウドド
MOUNT	マウント
MOUSSY	ムーシー
MOWRER	マウラー
MOZHAEV	モジャーエフ
MUGGERIDGE	マガリッジ
MUHLER	ムーラー
MUKERJEE	ムケルジー
MUN	マン
MUNCH	ムンク
MUNDAY	マンデー
MUNGER	ミュンガー
MUNRO	マンロー
MUNSEL	マンゼル
MUNTEANU	ムンテアーヌ
MURALT	ムラルト
MURANYI	ムレイニー
MURDOCK	マードック
MURGER	ミュルジェール
MURNAU	ムルナウ
MURRAY	マリイ
MUSA	ムーサー
MUSATOV	ムサートフ
MUSCETTA	ムシェッタ
MUSEBENI	ムセベニ
MUSGRAVE	ムスグレーブ
MUSSCHENBROEK	ミュッセンブルーク
MUSULIN	ムスリン
MUTCH	マッチ
MYBURGH	マイバラー
MYER	マイヤー
NABI	ナビ
NADLER	ナードラー
NAGEL	ネーゲル
NAHM	ナム
NAIDOO	ナイドウ
NAJMABADI	ナジマバーディ
NAKHIMOV	ナヒーモフ
NANINO	ナニーノ
NAPIER	ネピア
NAPLES	ナポリ
NAPOLES	ナポレス
NAREZHNYI	ナレージヌイ
NASIR	ナーシル
NASON	ネイスン
NASSIRI	ナスィーリー
NAT	ナット
NECKE	ネッケ
NECKER	ネッケル
NEGREIROS	ネグレイロ
NEGRONI	ネグローニ
NEILSON	ニールソン
NEMCHINOV	ネムチーノフ
NEMESHEGYI	ネメシェギ
NENOV	ネノフ
NEPIL	ネピル
NESIN	ネシン
NETTELS	ネッテルズ
NEUKIRCH	ノイキルヒ
NEWCOMBE	ニューカム
NEWLIN	ニューリン
NEYMAN	ネーマン
NICOLAS	ニコラス
NICOLAY	ニコレー
NICOLL	ニコル
NICOLLE	ニコル
NIEMELA	ニーメラ
NIEUWLAND	ニューランド
NIJMEGEN	ナイメーヘン
NIKIFOROVICH	ニキフォロビチ
NIKLAS	ニクラス
NIKOLAS	ニコラス
NIKULIN	ニクーリン
NISKANEN	ニスカネン
NISSEN	ニッセン
NKOMO	ヌコモ
NOBLE	ノーブル
NOCKER	ノッカー
NONET	ノネ
NORDBY	ノードバイ
NORDHAUS	ノードハウス
NORENA	ノレナ
NORIEGA	ノリエガ
NORTHUMBERLAND	ノーサンバーランド
NOURSE	ナース
NOVGOROD	ノブゴロド
NOVIKOV	ノビコフ
NOWACK	ノバック
NUFFIELD	ナフィールド
NURIEV	ヌーリェフ
NUTTALL	ナトール
NYBLAEUS	ニューブレイウス
NYSTEDT	ニーステット
O'HARA	オハラ
OASTLER	オーストラー
OBANDO	オバンド
OBERTH	オーベルト
ODELL	オーデル
ODEN	オーデン
ODESSA	オデッサ
ODHNER	オドナー
ODOM	オドム
OECOLAMPADIUS	エコランパディウス
OGG	オッグ
OGGIONO	オッジョーノ
OKER	オーケル
OLAF	オラーフ
OLDYS	オールディス
OLIVEIRA	オリベイラ
OLTMANS	オルトマンス
OMAN	オーマン
ORAISON	オレゾン
ORELLANA	オレリャナ
ORGA	オルガ
ORIANA	オリアーナ
ORIBE	オリベ
ORKUN	オルクン
OROFINO	オロフィーノ
ORTEGA	オルテガ
ORTIZ	オルティス
OSBORN	オズボーン
OSBORNE	オスボーン
OSCAR	オスカー
OSMOND	オズモンド
OSTEND	オーステンデ
OSTROM	オストローム
OSTROVITYANOV	オストロビチャーノフ
OTTAWA	オタワ
OUDINOT	ウーディノー
OULD	オールド
OUSELEY	ウーズリ
OXENHAM	オクセナム
OXLEY	オックスレー
PAARLBERG	パールバーグ
PACETTI	パチェッティ
PADMORE	パドモア
PAGE	パージュ
PAGET	パゼット
PAINE	ペイン
PAISII	パイシ
PAITA	パイタ
PALING	ペイリング
PALLA	パラ
PALLADINO	パラディーノ
PALLOL	パロール
PALUZZI	パルッツィ
PAM	パム
PANDO	パンド
PANDORA	パンドラ
PANFYOROV	パンフョーロフ
PANKRATOVA	パンクラートワ
PAOLINO	パオリーノ
PAPALEKSI	パパレークシ
PARKES	パークス
PARLY	パーリー
PARR	パー
PARRIS	パリス
PASCAN	パスツァン
PASCHE	パッシュ
PASERO	パゼロ
PASKEVICH	パスケービッチ
PASSEK	パセック
PASTORI	パストリ
PATE	ペート
PATEL	パテル
PATSALIDES	パツァリデス
PATTERSON	パタースン
PATTI	パティ
PATTIS	パッティス
PATTISON	パチソン
PAUCK	パウク
PAULSEN	パウルゼン
PAUNCEFOTE	ポーンスフト
PAVAUX	パボー
PEACH	ピーチ
PEAKE	ピーク
PECHNER	ペヒナー
PEDERZINI	ペデルツィーニ
PEERY	ピーリー
PEETERS	ペーテルス
PEEV	ペーエフ
PEIFFER	ペイフェール
PELCZYNSKI	ペルチンスキー
PELEGRIN	プレグラン
PELLETT	ペレット
PELLICO	ペリコ
PELMAN	ペルマン
PENFIELD	ペンフィールド
PENKOVA	ペンコーワ
PENNINGTON	ペニントン
PENNY	ペニー
PENZLER	ペンズラー
PEPER	ペパー
PEPPING	ペッピング
PEPYS	ヒープス
PERCY	パーシー
PEREGO	ペレゴ
PERICLE	ペリクレ
PERLMUTTER	パールミュッター
PERSANO	ペルサーノ
PERSICHETTI	パーシケッティ
PERTILE	ペルティーレ
PERTZ	ペルツ
PESTALOZZI	ペスタロッチ
PETERBOROUGH	ピーターボロ
PETERFALVI	ペテルファルビ
PETITJEAN	プティジャン
PETREE	ペトリー
PETROGRAD	ペトログラード
PETROVA	ペトロワ
PETRUS	ペトルス
PEVSNER	ペブスナー
PEYROUZET	ペルゼ
PFENNING	プフェニング
PFORDTEN	プフォルテン
PHILIPSON	フィリプソン
PHILLPOTTS	フィルポッツ
PIANO	ピアノ
PIAZZA	ピアッツァ
PIC	ピック
PICK	ピック
PIDGEON	ピジョン
PIECHLER	ピーヒラー
PIERLUIGI	ピエールルイジ
PIETRANGELI	ピエトランジェリ
PIGNATEL	ピニャテール
PILON	ピロン
PINE	パイン
PINGET	パンジェ
PINKERTON	ピンカートン
PIOTTE	ピオット
PIRANI	ピラーニ
PIRQUET	ピルケ
PISCHEL	ピシェル
PITSKHELAURI	ピッツヘラウリ
PLANK	プランク
PLATTI	プラッティ
PLATTS	プラッツ
PLATZ	プラッツ
PLATZMAN	プラッツマン
PLOWDEN	プロードン
PLOWMAN	プラウマン
POGANY	ポガーニ
POLANYI	ポラニー
POLE	ポール
POLL	ポル
POLLAK	ポラック
PONCE	ポンセ
PONTORMO	ポントルモ
POPELKA	ポペルカ
PORT-OF-SPAIN	ポートオブスペイン
PORTEN	ポルテン
PORTZAMPARC	ポルザンパルク
POUGNET	プーニエ
POUGNY	プーニ
POULET	プーレ
POURBUS	プールビュス
POURTALES	プルタレース
POUTSMA	ポウツマ
POWICKE	パウイック
POWNALL	パウナル
POWYS	ポーイス
PRAED	プレード
PRAGUE	プラハ
PRANDTL	プラントル
PRATI	プラーティ
PRAUSE	プラウゼ
PRAUSS	プラウス
PREISENDANZ	プライゼンダンツ
PRESLEY	プレスリー
PRESTON	プレストン
PREWITT	プルウィット
PRIBILINEC	プリビリネツ
PRIMO	プリーモ
PRINZ	プリンツ
PRINZHORN	プリンツホルン
PROBST	プロプスト
PRONZATO	プロンザート
PROSSER	プロッサー
PROVINCETOWN	プロビンスタウン
PRYDE	プライド
PSALMANAZAR	サルマナザール
PTUSHKO	プトゥシコ
PUCHTA	プフタ
PUCK	パック
PUGACHYOV	プガチョーフ
PUGLISI	プリージ
PUNER	ピューナー
PURDY	パーディー
PURVIANCE	パービアンス
PURVITS	ピュルビツ
PUYANA	プヤーナ
PYLES	パイルズ
PYOTR	ピョートル
PYPIN	プイピン
QUADE	クエイド
QUERCIA	クェルチア
QUIDOR	キドール
QUINAULT	キノー
RADOSLAVOV	ラドスラーボフ
RADWANSKI	ラドワンスキー
RAHN	ラーン
RAIMOND	レモン
RAISA	ライザ
RAKHLIN	ラフリン
RAMIREZ	ラミレス
RANDOLF	ランドルフ
RANKL	ランケル
RAPIN	ラピン
RASP	ラスプ
RATHBONE	ラスボン
RATNER	ラトナー
RAUMER	ラウマー
RAUTAVAARA	ラウタバーラ
RAVEL	ラベル
RAVENSCROFT	レーベンスクロフト
RAVI	ラビ
RAY	ライ
RAYNAUD	レーノー
RAYNOUARD	レーヌアール
REAGAN	レーガン
REAVIS	レビス
REDFIELD	レッドフィールド
REDMOND	レドモンド
REDON	ルドン
REE	レー
REEVE	リーブ
REGAZZONI	レガツォーニ
REGER	レーガー
REHN	レーン
REICHENBERGER	ライヘンベルガー
REICHLEN	レシュレン
REIF	ライフ
REIL	ライル
REISS	レイス
REITER	ライター
REIZOV	レイゾフ
REM	レム
REMEZOV	レーメゾフ
RENAUD	ルノー
RENAUDET	ルノーデ
RENDANO	レンダーノ
RENOUVIN	ルヌーバン
RENOUX	ルヌー
RESHETIN	レシェティン
RESNIK	レズニック
RESPIGHI	レスピーギ
RETZ	レス
REVENTLOW	レーベントロー
REVERDY	ルベルディ
REX	レックス
REYNARDSON	レイナードソン
RHOADES	ロウズ
RHYNE	ライネ
RIBEIRO	リベイロ
RIBOT	リボー
RICHART	リチャード
RICHIE	リチー
RICKEN	ライケン
RIDDELL	リデル
RIDE	ライド
RIESMAN	リースマン
RIGAUD	リゴー
RIGAUT	リゴー
RIGBY	リグビー
RIGHTER	ライター
RINEHART	ラインハート
RISSANEN	リッサネン
RITZ	リッツ
ROALD	ロアルド
ROBARDS	ロバーズ
ROBINSON	ロバンソン
ROBUCHON	ロビュション
ROCKHILL	ロックヒル
RODAHL	ロダール
RODEN	ローデン
RODERICK	ロデリック
RODNEY	ロドニー
ROELANTS	ローランツ
ROESLER	レースラー
ROGIER	ロジエ
ROHRER	ローラー
ROLLE	ロル
ROLLESTON	ロレストン
ROMAN	ローマン
ROMERO	ロメロ
RONY	ローニ
ROOKE	ルーク
ROPEK	ロペック
ROSALIND	ロザリンド
ROSARIO	ロザリオ
ROSE	ロース
ROSENBUSCH	ローゼンブッシュ
ROSENGARTEN	ローゼンガーテン
ROSENSTEIN	ローゼンスタイン
ROSMAN	ロスマン
ROSOLINO	ロソリーノ
ROSSE	ロス
ROSTENKOWSKI	ロステンコウスキ
ROTA	ロータ
ROTTENHAMMER	ロッテンハンマー
ROUCEK	ローシェック
ROYER	ロワイエー
ROZA	ロザ
RUBINSHTEIN	ルビンシュテイン
RUBINSTEIN	ルビンスタイン
RUBNER	ルーブナー
RUBY	ルビー
RUCHT	ルフト
RUDD	ラッド
RUDIGER	ラディガー
RUPERT	ルーパート
RUSH	ラッシュ
RUTTNER	ルットナー
RUZICKA	ルツィカ
RYAZANOV	リャザーノフ
RYZHIK	リュジク
RZHANITSYN	ルジャニーツィン
SAALMAN	サールマン
SABOGAL	サボガル
SADOUL	サドゥール
SAGE	セージ
SAIDENBERG	サイデンバーグ
SAINT	セイント
SALE	セイル
SALIN	ザーリン
SALKELD	サルケルド
SALMON	サモン
SALOMON	ザロモン
SALTER	ソルター
SAMOILOVA	サモイロワ
SAMUELSSON	サムエルソン
SANCHO	サンチョ
SANDAY	サンデー
SANDBURG	サンドバーグ
SANDINO	サンディノ
SANDLER	サンドラー
SANDRO	サンドロ
SANKEY	サンキ
SANOTSKII	サノツキー
SANTANDER	サンタンデル
SAPIR	サピル
SARAH	サラー
SARAN	ザーラン
SARASIN	サラシン
SARBIEWSKI	サルビエフスキー
SARGENTI	サゲンティ
SARTON	サートン
SASDY	サスディ
SAUERBRUCH	ザウエルブルフ
SAUGUET	ソゲ
SAUVEUR	ソーブール
SAYERS	セイヤーズ
SCAMOZZI	スカモッツィ
SCARLETT	スカーレット
SCHEER	シェール
SCHEFFEL	シェッフェル
SCHEINER	シャイナー
SCHEINPFLUG	シャインプフルーク
SCHENK	シェンク
SCHERMERHORN	スヘルメルホルン
SCHIEFNER	シーフネル
SCHIELE	シーレ
SCHIFF	シフ
SCHIRRMACHER	シルマハー
SCHLAF	シュラーフ
SCHLAGINTWEIT	シュラーギントバイト
SCHLEH	シュレイ
SCHLOTE	シュローテ
SCHMALSTICH	シュマルシュティヒ
SCHMEIDEL	シュマイデル
SCHMID	シュミッド
SCHMIT	シュミット
SCHMITT	シュミット
SCHNACK	シュナック
SCHNECKENBURGER	シュネッケンブルガー
SCHNEE	シュネー
SCHNITTKER	シュニットカー
SCHOEBEL	ショーベル
SCHOEMAN	シェーマン
SCHOENAUER	ショウナワー
SCHOENFELD	ショーンフェルド
SCHOLL	ショール
SCHOPENHAUER	ショーペンハウアー
SCHOWALTER	ショーウォーター
SCHRAM	シュラム
SCHRAML	シュラムル
SCHRIEFFER	シュリーファー
SCHUB	シューブ
SCHUBART	シューバルト
SCHULKIND	シュルキンド
SCHULTZE	シュルツ
SCHWARZENBACH	シュワルツェンバッハ
SCHWARZER	シュバルツァー
SCHWARZKOPF	シュバルツコップ
SCHWEIGER	シュバイガー
SCHWEIZER	シュバイツァー
SCHWERDTNER	シュベルトナー
SCHWITTERS	シュウィッタース
SEAN	ショーン
SEARCY	サーシー
SEBBAR	セバー
SEBESTYEN	セベスティアン
SEBON	ゼーボン
SEDDON	セドン
SEGONZAC	スゴンザック
SEIBOU	セイブ
SEIGNER	セニエ
SEN	セン
SENANAYAKE	セナナヤケ
SERGI	サージ
SERTILLANGES	セルティヤンジュ
SEVERINI	セベリーニ
SEVERINSEN	セベリンセン
SEVERSKY	セバースキー
SEZNEC	セズネック
SHAIN	シャーイン
SHALLON	シャロン
SHALYAPIN	シャリアピン
SHANE	シェーン
SHANKAR	シャンカル
SHAPLAND	シャプランド
SHARETT	シャレット
SHCHELOKOV	シチェロコフ
SHEEAN	シーアン
SHEELER	シーラ
SHEENA	シーナ
SHEHU	シェーフ
SHEKHAR	シェカール
SHELTON	シェルトン
SHERBURNE	シャーバーン
SHERLEY	シャーリー
SHESTOPAL	シェストパール
SHLOMO	シュロモ
SHREVE	シュリーブ
SHRIVER	シュライバー
SHUFELDT	シューフェルト
SHUKHOV	シューホフ
SHULTS	シュルツ
SHURE	シュアー
SHUTKO	シュトコ
SHVETSOV	シベツォーフ
SIERPINSKI	シェルピンスキ
SIGOURNEY	シガニー
SIGRID	ジーグリット
SILKE	ジルケ
SILLIMAN	シリマン
SILVERT	シルバート
SIM	シム
SIMCOX	シムコクス
SIMMONDS	シモンズ
SIMROCK	ジムロック
SIMSON	ジムゾン
SINOPOLI	シノーポリ
SINOWATZ	ジノワツ
SITTE	ジッテ
SITTNER	ジットナー
SIWERTZ	シベルツ
SKELTON	スケルトン
SKILLMAN	スキルマン
SKOPJE	スコピエ
SKROWACZEWSKI	スクロバチェフスキ
SKRYABIN	スクリャービン
