AACHEN	アーヘン
CHISSANO	シサノ
CHITTENDEN	チッテンデン
CHIZHOV	チジョフ
CHKHEIDZE	チヘイーゼ
CHLENOV	チレーノフ
CHLOPICKI	クロピツキ
CHMARA	クマラ
CHMURA	シュムラ
CHOATE	チョート
CHOAY	ショエ
CHOCANO	チョカーノ
CHODKIEWICZ	ホトケーウィチ
CHODOWIECKI	コドウィエツキー
CHOISEUL	ショアズール
CHOISY	ショアジ
CHOLLEY	ショレー
CHOLMONDELEY	チャムレー
CHOMEL	ショメイル
CHOMSKY	チョムスキー
CHOPIN	チョピン
CHOPRA	チョプラ
CHORAO	シャーロー
CHOTZINOFF	ショツィノフ
CHOUDHURY	チョウドリ
CHOUINARD	シュイナード
CHOURAQUI	ショラキ
CHOUREAU	シューロー
CHOVIN	ショバン
CHRIMES	クライムズ
CHRIS	クリス
CHRIST	クリスト
CHRISTA	クリスタ
CHRISTCHURCH	クライストチャーチ
CHRISTEN	クリステン
CHRISTENSEN	クリステンセン
CHRISTENSON	クリステンソン
CHRISTIAN	クリスティアン
CHRISTIANSEN	クリスティアンゼン
CHRISTIE	クリスティー
CHRISTIEN	クリスチャン
CHRISTIN	クリスタン
CHRISTOFFEL	クリストッフェル
CHRISTOFORO	クリストファロ
CHRISTOPH	クリストフ
CHRISTOPHE	クリストフィー
CHRISTOPHER	クリストファ
CHRISTOPHIDES	クリストフィデス
CHRISTOS	クリストス
CHRISTOU	クリストウ
CHRISTOV	フリストフ
CHRYSANDER	クリュザンダー
CHRYSOSTOMOS	クリュソストモス
CHRZANOWSKI	シュルザノスキー
CHUBIN	チュービン
CHUCHRO	フフロ
CHUMAN	チューマン
CHUN	クーン
CHUNG	チョン
CHUQUET	シュケ
CHUTE	チュート
CHUVASH	チュバシ
CIALDINI	チャルディーニ
CIANCIO	チアンチオ
CIANI	チアーニ
CIANO	チアノ
CIARDI	キアルディ
CIBBER	シバー
CICELY	シシリー
CICERO	キケロ
CIECHANOWSKI	チェハノフスキ
CIENFUEGOS	シエンフエゴス
CIESLIK	チースリク
CIFRA	チフラ
CIGNA	チーニャ
CIGOLI	チーゴリ
CIHAL	チガル
CILO	キロ
CIM	シム
CIMA	チマ
CIMATTI	チマチ
CINCINNATUS	キンキナトゥス
CINDY	シンディ
CINO	チーノ
CINQUETTI	チンクエッティ
CIONE	チョーネ
CIONI	チオーニ
CIORAN	シオラン
CIORTEA	チョルテア
CIPELLETTI	チペレッティ
CIPOLLA	チポラ
CIPRIANI	チプリアーニ
CIPRIANO	シプリアーノ
CIRINO	チリーノ
CIVIL	シビル
CIVIRANI	チビラーニ
CIXOUS	シクスス
CLAP	クラップ
CLAPESATTLE	クラッペサトル
CLAPEYRON	クラペイロン
CLAPHAM	クラッパム
CLAPPERTON	クラッパートン
CLAPTON	クラプトン
CLARA	クレアラ
CLARE	クレア
CLARENCE	クラレンス
CLARENDON	クラレンドン
CLARISSA	クラリサ
CLARK	クラーク
CLASSEN	クラッセン
CLAUDE	クロード
CLAUDIA	クラウディア
CLAUDIO	クラウディオ
CLAUDIUS	クラウディウス
CLAUS	クラウス
CLAUSEN	クローゼン
CLAUSEWITZ	クラウゼビッツ
CLAUSING	クロージング
CLAUSIUS	クラウジウス
CLAUSON	クローゾン
CLAUSSEN	クラウセン
CLAVEL	クラベル
CLAVER	クラベル
CLAVIJERO	クラビヘロ
CLAXTON	クラクストン
CLAY	クレー
CLEARWATER	クリアウォーター
CLEBSCH	クレープシュ
CLEMENS	クレメンス
CLEMENT	クレメント
CLEMENTI	クレマンティ
CLEMENTS	クレメンツ
CLEOBURY	クレバリー
CLERIDES	クリリデス
CLEVE	クレーフ
CLEVELAND	クリーブランド
CLEVENGER	クレベンジャー
CLEWING	クレビング
CLIFFORD	クリフォード
CLIFTON	クリフトン
CLINE	クライン
CLINT	クリント
CLINTON	クリントン
CLISSON	クリッソン
CLIVE	クリーブ
CLOETE	クローテ
CLOSETS	クロゼ
CLOUGH	クラウ
CLOUZOT	クルーゾ
CLOVIO	クロビオ
CLUSERET	クリュズレ
CLYDE	クライド
CLYMER	クライマー
CLYNE	クライン
CLYNES	クラインズ
COATSWORTH	コーツワース
COBALT	コバルト
COBET	コベット
COBHAM	コブハム
COBOS	コボ
COBURG	コーブルク
COBURN	コバーン
COCHEREAU	コシュロー
COCHET	コシェ
COCHIN	コシャン
COCHRANE	コクレン
COCK	コック
COCKAYNE	コケーン
COCKBURN	コックバーン
CODDINGTON	コーディントン
CODREANU	コドレアーヌ
CODRINGTON	コドリングトン
COEHOORN	クーホルン
COELHO	コエーリョ
COELLO	コエリョ
COEN	コエン
COETZEE	クッツェー
COFFEE	コーヒー
COFFEY	コッフィ
COGAN	コーガン
COGER	コーガー
COGHLAN	コグラン
COGSWELL	コグズウェル
COHAN	コーハン
COHEN	コーヘン
COHN	コーン
COHNHEIM	コーンハイム
COIGNET	コワニエ
COIMBRA	コインブラ
COINEAU	コワノー
COITER	コイター
COKER	コーカー
COLBERT	コルベール
COLBORNE	カルバン
COLBURN	コルバーン
COLBY	コルビー
COLDWELL	コールドウェル
COLE	コール
COLEMAN	コールマン
COLEN	コーレン
COLENSO	コレンゾー
COLETTE	コレット
COLGATE	コルゲート
COLIJN	コリーン
COLIN	コリーン
COLLA	コーラ
COLLEEN	コリーン
COLLETT	コレット
COLLIER	コリヤー
COLLIGNON	コリニョン
COLLIN	コリン
COLLINDER	コリンダー
COLLINGWOOD	コリングウッド
COLLINS	コリンズ
COLLINSON	コリンソン
COLLIP	コリップ
COLLUM	コルム
COLM	コルム
COLMAN	コールマン
COLMAR	コルマール
COLMER	コーマー
COLOGNE	コロン
COLOMB	コロンブ
COLOMBIA	コロンビア
COLOMBO	コロンボ
COLON	コロン
COLONNA	コロンナ
COLONNE	コロンヌ
COLORADO	コロラド
COLOTKA	ツォロトカ
COLQUHOUN	コルクホーン
COLSON	コルソン
COLSTON	コールストン
COLT	コルト
COLUM	コラム
COLUMBIA	コロンビア
COLUMBUS	コロンブス
COLVIN	コルビン
COLWELL	コルウェル
COMANECI	コマネチ
COMBARIEU	コンバリュー
COMBAZ	コンバズ
COMBE	クーム
COMBES	コンブ
COMBS	コームズ
COMELLI	コメルリ
COMENIUS	コメニュウス
COMER	カマー
COMFREY	コンフレイ
COMINES	コミーヌ
COMISSO	コミッソ
COMMAND	コマン
COMMER	コンマー
COMMONER	コモナー
COMMONS	コモンズ
COMO	コモ
COMONFORT	コモンフォルト
COMOROS	コモロ
COMPAGNI	コンパーニ
COMPANEEZ	コンパネーズ
COMPANY	コンパニュ
COMPAORE	コンパオレ
COMPARETTI	コンパレッティ
COMPTON	コンプトン
COMROE	コムロウ
COMSTOCK	コムストック
COMTE	コント
COMYN	カミン
CONAKRY	コナクリ
CONALL	コナル
CONCA	コンカ
CONCANNON	コンカノン
CONCATO	コンカート
CONCEPCION	コンセプシオン
CONCHA	コンチャ
CONCHITA	コンチタ
CONCONE	コンコーネ
CONCORD	コンコード
CONDE	コンデ
CONDER	コンダー
CONDILLAC	コンディヤック
CONDO	コンド
CONDON	コンドン
CONDORCET	コンドルセ
CONE	コーン
CONEGLIANO	コネリャーノ
CONFALONIERI	コンファロニエーリ
CONFORTO	コンフーォト
CONGAR	コンガール
CONGER	コンガー
CONGO	コンゴ
CONINGTON	コニントン
CONINX	コニンクス
CONNAUGHTON	コナフトン
CONNECTICUT	コネティカット
CONNELL	コーネル
CONNELLY	コネリー
CONNER	コナー
CONNOLLY	コノリー
CONNOLY	コノリー
CONNORS	コナーズ
CONOLLY	コノリー
CONOVER	コノバー
CONRAD	コンラート
CONRADI	コンラーディ
CONRADIN	コンラディン
CONRING	コンリング
CONROY	コンロイ
CONSAGRA	コンサグラ
CONSALVI	コンサルビ
CONSBRUCH	コンスブルック
CONSCIENCE	コンシェンス
CONSENTINI	コンセンティーニ
CONSIDINE	コンシダイン
CONSIGLIO	コンシグリオ
CONSTANCE	コンスタンス
CONSTANS	コンスタンス
CONSTANT	コンスタン
CONSTANTIN	コンスタンチン
CONSTANTINE	コンスタンティン
CONSTANTINESCU	コンスタンチネスキュ
CONTA	コンタ
CONTARINI	コンタリーニ
CONTAT	コンタ
CONTE	コント
CONTENAU	コントノー
CONTINI	コンティーニ
CONVERS	カンバルス
CONWAY	コンウェー
CONZE	コンツェ
CONZELMANN	コンツェルマン
COOGAN	クーガン
COOMBES	クームズ
COOMBS	クームス
COOPER	クーパー
COORNHERT	コールンヘルト
COPE	コープ
COPENHAGEN	コペンハーゲン
COPERNICUS	コペルニクス
COPLAND	コープランド
COPLESTON	コプルストン
COPLEY	コプリー
COPPARD	コパート
COPPENS	コッペン
COPPER	コパー
COPPET	コペット
COPPOLA	コッポラ
CORA	コーラ
CORAL	コーラル
CORBETT	コルベット
CORBIN	コルバン
CORBINO	コルビーノ
CORDEMOY	コルドモア
CORDES	コルデス
CORDON	コードン
CORENA	コレーナ
CORFIELD	コーフィールド
CORIGLIANO	コリリャーノ
CORINNE	コリン
CORNARO	コルナロ
CORNEILLE	コルネイユ
CORNEJO	コルネーホ
CORNEL	コーネル
CORNELIO	コルネリオ
CORNELIS	コルネリス
CORNELIU	コルネリウ
CORNELIUS	コルネリス
CORNELL	コーネル
CORNER	コーナー
CORNES	コルンズ
CORNFELD	コーンフェルト
CORNFORD	コーンフォード
CORNFORTH	コーンフォース
CORNU	コルニュ
CORNWALL	コーンウォール
CORONA	コロナ
CORONADO	コロナド
CORONELLI	コロネリ
CORPET	コルペ
CORPORA	コルポラ
CORREA	コレア
CORRIGAN	コリガン
CORRINGTON	コリントン
CORSI	コルシ
CORSICA	コルシカ
CORSINI	コルシーニ
CORSO	コーソ
CORTESE	コルテーゼ
CORVIN	コルバン
CORVINUS	コルビヌス
CORWIN	コーウィン
COSA	コサ
COSENTINO	コセンティーノ
COSER	コーザー
COSERIU	コセリウ
COSSA	コッサ
COSSIGA	コシガ
COSSUS	コッスス
COSSUTTA	コッスッタ
COSTA	コスタ
COSTAIN	コステイン
COSTANZO	コスタンゾー
COSTER	コステル
COSWAY	コズウェー
COT	コット
COTE	コート
COTTA	コッタ
COTTAFAVI	コッタファービ
COTTBUS	コットバス
COTTON	コットン
COTUGNO	コトゥーニョ
COUBERTIN	クーベルタン
COUES	クーズ
COUGHLIN	コグリン
COULONGES	クーロンジュ
COUNT	カウント
COUPER	クーパー
COUPERIN	クープラン
COUPERUS	クーペルス
COUPLET	クプレ
COURAJOD	クラジョ
COURBOIN	クールボアン
COURCEL	クールセル
COURT	コート
COURTAULD	コートールド
COURTELINE	クールトリーヌ
COURTENAY	コートニー
COURTHION	クールティヨン
COURTHOPE	コートープ
COURTINE	クールティーヌ
COURTNEY	コートニー
COURTOIS	クールトア
COUSIN	クーザン
COUSINET	クージネー
COUSINS	クーザン
COUSSEMAKER	クスマケール
COUTHON	クートン
COUTO	コート
COUTURE	クーチュール
COVARRUBIAS	コバルビアス
COVENTRY	コベントリ
COVINGTON	コビントン
COWAN	カウァン
COWEN	コーウェン
COWLISHAW	カウリショウ
COWPER	カウパー
COXWELL	コクスウェル
COYLE	コイル
COYNE	コイン
COYPEL	コアペル
COZENS	カズンズ
CRABBE	クラッブ
CRACIUN	クラチウン
CRACOW	クラクフ
CRAIG	クレーグ
CRAIGHEAD	クレーグヘッド
CRAIN	クレイン
CRAIS	クレイス
CRAM	クラム
CRAMER	クラメール
CRAMPTON	クランプトン
CRANACH	クラナハ
CRANDALL	クランドル
CRANE	クレイン
CRANKSHAW	クランクショー
CRANMER	クランマー
CRANSTON	クランストン
CRASHAW	クラショー
CRASNARU	クラスナル
CRAVEN	クレイブン
CRAVENS	クレイブンス
CRAWFORD	クロウフォード
CRAXTON	クラクストン
CREAMER	クリーマー
CREAN	クリーン
CREIGHTON	クレイトン
CREME	クレーム
CREMER	クリーマー
CREMONA	クレモーナ
CREMONINI	クレモニーニ
CRENSHAW	クレンショウ
CREPEL	クレペル
CRESCIMBENI	クレシンベーニ
CRESPELLE	クレスペル
CRESPI	クレスピー
CRESPIN	クレスパン
CRESPO	クレスポ
CRESSENT	クレッサン
CRESSON	クレッソン
CRESSWELL	クレスウェル
CRESTON	クレストン
CRESWELL	クレスウェル
CREUTZ	クロイツ
CREVEL	クルベル
CRICHTON	クライトン
CRILE	クライル
CRILLON	クリヨン
CRIPPS	クリップス
CRISP	クリスプ
CRISPI	クリスピ
CRISPIN	クリスピン
CRISPINO	クリスピノ
CRISTINO	クリスチノ
CRITCHFIELD	クリッチフィールド
CRITTENDEN	クリテンドン
CRIVELLI	クリベリ
CROATIA	クロアチア
CROCE	クロース
CROCETTI	クロセッティ
CROCKER	クロッカー
CROFTON	クロフトン
CROISET	クロアゼ
CROME	クローム
CROMER	クローマー
CROMMELYNCK	クロムリンク
CROMPTON	クロンプトン
CROMWELL	クロムウェル
CRONACA	クロナーカ
CRONIN	クローニン
CRONJE	クロンイェ
CRONSTEDT	クローンステット
CROOME	クルーム
CROSBY	クロスビー
CROSFIELD	クロスフィールド
CROSS	クロス
CROSSON	クロッソン
CROTHERS	クラザーズ
CROWELL	クローウェル
CROWTHER	クラウザー
CROZE	クローズ
CRUCHON	クリュション
CRUICKSHANK	クルクシャンク
CRUIKSHANK	クルクシャンク
CRUMB	クラム
CRUMLEY	クラムリー
CRUMP	クランプ
CRUSIUS	クルージウス
CRUTCHFIELD	クラッチフィールド
CRUVEILHIER	クリュベイエ
CRUYFF	クライフ
CRUZ	クルツ
CRUZE	クルーズ
CRYER	クライヤー
CSETE	セテ
CSIKSZENTMIHALYI	チクセントミハイ
CUBA	キューバ
CUBE	クーベ
CUBEDO	クベード
CUBER	キューバー
CUCHE	キュシュ
CUEVA	クエバ
CUGAT	クガート
CUGNOT	キュニョー
CUKOR	キューカー
CULAFIC	チュラフィッチ
CULBERT	カルバート
CULLBERG	クルベルグ
CULLEN	カレン
CULLIGAN	カリガン
CULLUM	カラム
CULP	クルプ
CULPEPPER	カルペッパー
CUMBERLAND	カンバーランド
CUMINGS	カミングス
CUMMINGS	カミングス
CUMONT	キュモン
CUNHA	クニヤ
CUNHAL	クニャル
CUNNINGTON	カニングトン
CUNO	クーノー
CUNOW	クノー
CURETON	キュアトン
CURIE	キュリー
CURLE	カール
CURME	カーム
CURPHEY	カーフィ
CURRAN	カラン
CURRIE	キャリー
CURRIER	カリアー
CURRY	カリイ
CURSON	カーソン
CURT	カート
CURTI	カーティ
CURTIN	カーティン
CURTIS	キュルティス
CURTISS	カーティス
CURTIUS	クルティウス
CURTIZ	カーティス
CURVAL	キュルバル
CURWOOD	カーウッド
CURZON	カーゾン
CUSCUNA	カスクーナ
CUSHING	カッシング
CUSHMAN	クッシュマン
CUSTANCE	カスタンス
CUSTER	カスター
CUSTINE	キュスティーヌ
CUTHBERT	カスバート
CUTLACK	カトラック
CUTLER	カトラー
CUTSHALL	カッショール
CUTTER	カッター
CUTTS	カッツ
CUVIER	キュビエ
CUVILLIER	キュビリエ
CUYP	コイプ
CUYPERS	コイペルス
CYNDI	シンディ
CYON	ショーン
CYPRIAN	シプリアン
CYPRIANUS	キプリアヌス
CYPRUS	キプロス
CYRANKIEWICZ	チランケビッチ
CYRIL	シリル
CYRILLE	キリル
CYRUS	サイラス
CZAPARY	ツァパリ
CZAPIEWSKI	チャピエフスキ
CZARTORYSKI	チャルトリスキ
CZAYKA	チャイカ
CZECH	チェコ
CZECHIA	チェコ
CZECHOWSKI	チェホフスキ
CZERNIK	ツェルニク
CZERNIN	チュルニン
CZERNY	チェルニー
CZERWENKA	チェルベンカ
CZESLAW	チェスワフ
CZIBULKA	チブルカ
CZINKOTA	ツィンコータ
CZINNER	ツィンナー
CZOLGOSZ	チョルゴシュ
CZYZ	チジュ
DABIN	ダバン
DABROWSKA	ドンブロフスカ
DABROWSKI	ドンブロフスキ
DACCA	ダッカ
DACKO	ダッコ
DACOSTA	ダコスタ
DACRE	ダクレ
DADDAH	ダッダ
DAENDELS	ダーンデルス
DAFOE	デフォー
DAGERMAN	ダーゲルマン
DAGMAR	ダグマル
DAGOURET	ダグーレ
DAGOVER	ダゴファー
DAHL	ダール
DAHLBECK	ダールベック
DAHLBERG	ダールバーグ
DAHLEM	ダーレム
DAHLERUP	ダーラロップ
DAHLGREN	ダールグレン
DAHLHAUS	ダールハウス
DAHLMANN	ダールマン
DAHLSTROM	ダールストローム
DAHM	ダーム
DAHMEN	ダーメン
DAHN	ダーン
DAICHES	デイシャス
DAILEY	デイリー
DAILY	デイリー
DAIMLER	ダイムラー
DAISY	デイジー
DAKAR	ダカール
DAKIN	デーキン
DALADIER	ダラディエ
DALBAN	ダルバン
DALBERG	ダールベルク
DALBY	ダルビー
DALCROZE	ダルクローズ
DALE	デール
DALI	ダリ
DALIN	ダーリン
DALIO	ダリオ
DALL	ドール
DALLAMANO	ダッラマーノ
DALLAPICCOLA	ダラピッコラ
DALLAS	ダラス
DALLIN	ダリン
DALLY	ダリ
DALMAN	ダルマン
DALMAU	ダルマウ
DALRYMPLE	ダルリンプル
DALTON	ダルトン
DALTROP	ダルトロップ
DALY	デーリー
DAMAS	ダマ
DAMASCHKE	ダマシュケ
DAMASCUS	ダマスカス
DAMASO	ダマソ
DAMDINSUREN	ダムダィンスルン
DAME	デーム
DAMEN	ダーメン
DAMERON	ダメロン
DAMIANI	ダミアニ
DAMIANO	ダミアーノ
DAMIENS	ダミアン
DAMJAN	ダムヤン
DAMJANOV	ダミャーノフ
DAMM	ダム
DAMMER	ダマー
DAMON	ダモン
DAMONE	ダモン
DAMOURETTE	ダムレット
DAMROSCH	ダムロッシュ
DANA	ダナ
DANBY	ダンビー
DANCE	ダンス
DANCHIN	ダンシャン
DANCLA	ダンクラ
DANCO	ダンコ
DANDO	ダンドー
DANDRIDGE	ダンドリッジ
DANDY	ダンディ
DANE	デーン
DANELIYA	ダネーリヤ
DANEV	ダネフ
DANFORTH	ダンフォース
DANGE	ダンゲ
DANGEAU	ダンジョー
DANHAUSER	ダンハウザー
DANICA	ダニツァ
DANIEL	ダニール
DANIELE	ダニエル
DANIELI	ダニエーリ
DANIELL	ダニエル
DANIELS	ダニエル
DANILO	ダニーロ
DANILOV	ダニーロフ
DANILOVA	ダニロワ
DANINOS	ダニノス
DANISE	ダニーゼ
DANN	ダン
DANNA	ダナ
DANNECKER	ダンネッカー
DANNER	ダンナー
DANNREUTHER	ダンロイター
DANNY	ダニー
DANON	ダノン
DANQUAH	ダンクア
DANTAS	ダンタス
DANTE	ダンテ
DANTON	ダントン
DANUTA	ダヌータ
DANZIG	ダンツィヒ
DANZIGER	ダンツィガー
DAPHNE	ダフネ
DAPPER	ダッパー
DAPRA	ダプラ
DARA	ダラ
DARBY	ダービー
DARCET	ダルセ
DARCY	ダーシー
DARD	ダール
DARDIS	ダーディス
DARE	デア
DAREL	ダレル
DARGOMYZHSKI	ダルゴムイシスキー
DARIEN	ダリエン
DARIN	ダーリン
DARIO	ダリオ
DARIUS	ダリウス
DARKE	ダーク
DARKO	ダルコ
DARLEY	ダーリー
DARLINGTON	ダーリントン
DARMAN	ダーマン
DARNELL	ダーネル
DARNLEY	ダーンリ
DARNTON	ダーントン
DARNYI	ダルニュイ
DARROW	ダロー
DARRYL	ダリル
DARU	ダリュ
DARWIN	ダーウィン
DARYL	ダリル
DAS	ダース
DASGUPTA	ダスグプタ
DASH	ダッシュ
DASHIELL	ダシール
DASHKOVA	ダーシコバ
DASKALOVA	ダスカロバ
DASS	ダス
DASSIN	ダッシン
DATE	デイト
DATT	ドット
DATTA	ダッタ
DATTNER	ダットナー
DAU	ダウ
DAUB	ダウプ
DAUCHER	ダウハー
DAUDET	ドーデ
DAUDI	ダウディ
DAUGHERTY	ドーリィティー
DAUMER	ダウマー
DAUN	ダウン
DAUNER	ダウナー
DAUNOU	ドヌー
DAUPHIN	ドーフィン
DAUSSET	ドーセ
DAVE	ディブ
DAVENANT	ダベナント
DAVENPORT	ダブンポート
DAVERN	ダバーン
DAVEY	デイビー
DAVIA	ダビア
DAVID	デェビット
DAVIDE	ダビデ
DAVIDGE	ダビジ
DAVIDOFF	ダビドフ
DAVIDSOHN	ダビドゾーン
DAVIDSON	デビットソン
DAVIE	デービー
DAVIES	デイビース
DAVIGNON	ダビニョン
DAVILA	ダビラ
DAVIN	ディビン
DAVIS	デービス
DAVISON	デビソン
DAVISSON	ダビソン
DAVITT	ダビット
DAVOUT	ダブ
DAVY	ダビ
DAVYDOVA	ダビドワ
DAWDA	ダウダ
DAWEKE	タベッケ
DAWES	ドーズ
DAWIDOWICZ	ダビドビッチ
DAWKINS	ドーキンス
DAWLEY	ドーリー
DAWN	ドーン
DAWS	ドウズ
DAWSON	ドーソン
DAY	デー
DAYAL	ダヤル
DAYAN	ダヤン
DAYDE	ダイデ
DAYRELL	デイレル
DAYTON	デートン
DEACON	ディーコン
DEAKIN	ディーキン
DEAL	ディール
DEAN	ディーン
DEANE	ディーン
DEARDEN	ディアデン
DEARIE	ディアリー
DEARING	デアリング
DEARNLEY	ダーンリー
DEAS	ディアス
DEATHERAGE	デサレージ
DEAVER	ディーバー
DEBA	デバ
DEBBIE	デビー
DEBENEDETTI	デベネデッティ
DEBIDOUR	ドビドゥール
DEBIERNE	ドビエルヌ
DEBORAH	デボラー
DEBREU	ドブリュー
DEBRUNNER	デブルンナー
DEBUCOURT	ドビュクール
DEBUS	デブズ
DEBYE	デバイ
DECAISNE	ドケーヌ
DECAMPS	ドカン
DECATUR	ディケーター
DECAZES	ドカーズ
DECIUS	デキウス
DECOIN	ドコワン
DECOMBLE	ドコンブル
DECOUX	ドクー
DED	デッド
DEDEKIND	デデキント
DEDIC	デェディッチ
DEDIJER	デディエル
DEDIK	デディク
DEDRICK	デドリック
DEE	ディー
DEED	デード
DEEPAK	ディーパック
DEEPING	ディーピング
DEERING	ディーリング
DEFANT	デファント
DEFAUW	ドゥフォー
DEFFAND	デファン
DEFFRENNES	デフレヌ
DEFOE	デフォー
DEFONTENAY	ドフォントネー
DEFORD	デフォード
DEFORGES	ドフォルジュ
DEFOSSEZ	デフォセ
DEFRASNE	デフラーヌ
DEGAS	ドガ
DEGE	デーゲ
DEGEN	デジャン
DEGERMARK	デーゲルマルク
DEGN	デーグン
DEGRELLE	ドグレル
DEHMEL	デーメル
DEHN	デーン
DEIBER	ダイベル
DEICH	デーイチ
DEIGHTON	デイトン
DEIMEL	ダイメル
DEIMLING	ダイムリング
DEINEKA	デイネーカ
DEINZER	ダインツァー
DEIRDRE	デアドル
DEISSMANN	ダイスマン
DEITERS	ディーターズ
DEJEAN	ドジャン
DEJMEK	デイメク
DEJONG	ディヤング
DEJOURS	デジュール
DEKEN	ディーケン
DEKOBRA	デコブラ
DEL	デル
DELACORTE	デラコート
DELAGE	ドラージュ
DELAHAYE	ドラエ
DELAND	ディランド
DELANE	ディレーン
DELANEY	デラニー
DELANGE	ドゥランジュ
DELANNOY	ドラノア
DELANO	デラノ
DELANY	ディレーニー
DELAPIERRE	ドラピェール
DELARUE	ドラリュ
DELAUNAY	ドローネ
DELAVIGNE	ドラビーニュ
DELAY	ドゥレー
DELBOEUF	デルブーフ
DELEPLACE	ドゥルプラス
DELESCLUZE	ドレクリューズ
DELESSERT	ドゥレセール
DELEUZE	ドゥルーズ
DELFINI	デルフィーニ
DELGADO	デルガド
DELHI	デリー
DELIA	ディーリア
DELIBES	ドリーブ
DELIO	デリオ
DELISLE	ドリール
DELL	デル
DELLINGER	デリンジャー
DELMAR	デルマー
DELMAS	デルマ
DELMORE	デルモア
DELMOTTE	デルモット
DELON	ドロン
DELONEY	デローニー
DELOREAN	デロリアン
DELORME	ドロルム
DELP	デルプ
DELPECH	デルペシュ
DELPLANQUE	デルプランク
DELPRAT	デルプラート
DELSARTE	デルサルト
DELVAUX	デルボー
DELVERT	デルベール
DELVINCOURT	デルバンクール
DELZELL	デルゼル
DEMAISON	ドメゾン
DEMAN	デーマン
DEMANGE	ドマンジュ
DEMANGEON	ドマンジョン
DEMARIS	デマリス
DEMBINSKI	デンビンスキ
DEMBOWSKI	デンボフスキ
DEMEL	デメル
DEMENT	デメント
DEMETER	デメートル
DEMETRIADES	デメトリアデス
DEMICHEV	デミチェフ
DEMIDENKO	ディミジェンコ
DEMIN	デーミン
DEMING	デミング
DEMISCH	デーミッシュ
DEMLING	デムリンク
DEMOLDER	ドモルデル
DEMONGEOT	ドモンジョ
DEMORY	ドゥモリ
DEMOUGEOT	ドゥムジョ
DEMPF	デンプ
DEMPSEY	デンプシー
DEMPSTER	デンプスター
DEMSKI	デムスキー
DEMUTH	デムート
DENARO	デナロ
DENBY	デンビ
DENES	ディーンズ
DENEUVE	ドヌーブ
DENFELD	デンフェルド
DENHAM	デナム
DENIKIN	デニキン
DENINA	デニーナ
DENING	デニング
DENIS	デニス
DENISE	ドニーズ
DENISON	デニソン
DENISOV	デニソフ
DENIZ	デニス
DENIZE	ドニーズ
DENKER	デンカー
DENKTAS	デンクタシュ
DENMARK	デンマーク
DENNEBORG	デンネボルク
DENNERY	デヌリー
DENNETT	デネット
DENNEY	デニー
DENNING	デニング
DENNIS	デニス
DENNISTON	デニストン
DENNY	デニー
DENOU	デノウ
DENS	ダン
DENTON	デントン
DENVER	デンバー
DENYS	ドゥニス
DENZEL	デンゼル
DENZINGER	デンツィンガー
DENZLER	デンツラー
DEODATO	デオダート
DEPLACE	ドプラス
DEPLUS	ドプリュ
DEPMAN	デップマン
DEPRAZ	ドプラ
DEPREZ	デプレ
DEPUY	デピュー
DERBY	ダービー
DERBYSHIRE	ダービシャー
DEREK	デレク
DERENBOURG	ドランブール
DEREVYANKO	デレビャンコ
DERI	デリ
DERICK	デリック
DERINGER	デリンジャー
DERKSEN	デルクセン
DERN	ダーン
DEROZIO	デロジオ
DERRY	デリー
DERZHAVIN	デルジャービン
DESAI	デサイ
DESALMAND	デザルマン
DESANKA	デサンカ
DESAULT	ドソー
DESBOROUGH	デズバラ
DESCALZO	デスカルツォ
DESCAMPS	デカン
DESCH	デッシュ
DESCHAMPS	デシャン
DESCHANEL	デシャネル
DESCHARNES	デシャルネス
DESCLOZEAUX	デクロゾー
DESCOMBEY	デコンベイ
DESFONTAINES	デフォンテーヌ
DESHMUKH	デシュムク
DESIDERIUS	デシデリウス
DESIRE	デジレ
DESJARDINS	デジャルダン
DESLANDRES	デランドル
DESMAISON	デメゾン
DESMOND	ディズモンド
DESNOYER	デノアイエ
DESNOYERS	デノアイエ
DESPARD	デスパード
DESPIAU	デスピオ
DESPONS	デスポン
DESSALINES	デサリーヌ
DESSAU	デッサウ
DESSAUER	デッサウアー
DESSOIR	デソアール
DESTA	デスタ
DESTINN	デスティン
DESTOUCHES	デトゥシュ
DETIENNE	ドゥティエンヌ
DETROIT	デトロイト
DETTMAR	デットマル
DEUCHAR	デューカー
DEUDNEY	デュードニー
DEUEL	デューエル
DEUS	デウス
DEUTSCH	ドイッチュ
DEUTSCHER	ドイッチャー
DEV	デーブ
DEVENTER	デフェンテル
DEVER	デバー
DEVEREUX	デベロー
DEVERIA	ドベリア
DEVETZI	デベッツィ
DEVI	デビ
DEVIENNE	ドビエンヌ
DEVILLE	ダビール
DEVINE	ディバイン
DEVIS	デイビス
DEVLIN	デブリン
DEVON	デボン
DEVOTO	デボート
DEVOYON	ドボワイヨン
DEVRIENT	ドゥブリアン
DEVRIES	デブリーズ
DEWAR	デューア
DEWE	デュー
DEWEVER	ドベベル
DEWING	デューイング
DEWSBURY	デュースバリィ
DEXTER	デクスター
DEYON	デイヨン
DEYROLLE	デイロル
DEZHNEV	デジネフ
DHAKA	ダッカ
DHANANJAY	ダナンジャイ
DHEBAR	デバール
DHOMME	ドンム
DHORME	ドルム
DIA	ディア
DIACK	ダイアック
DIACONESCU	ディアコネスク
DIAGNE	ディアニュ
